timestamp,twelvedata,finage,yahoo_finance
1631384890,34.09000,34.04,34.18
1631384957,34.09000,34.04,34.18
1631385022,34.09000,34.04,34.18
1631385086,34.09000,34.04,34.18
1631385150,34.09000,34.04,34.18
1631385214,34.09000,34.04,34.18
1631385279,34.09000,34.04,34.18
1631385343,34.09000,34.04,34.18
1631385407,34.09000,34.04,34.18
1631385471,34.09000,34.04,34.18
1631385535,34.09000,34.04,34.18
1631385599,34.09000,34.04,34.18
1631385664,34.09000,34.04,34.18
1631385728,34.09000,34.04,34.18
1631385792,34.09000,34.04,34.18
1631385856,34.09000,34.04,34.18
1631385920,34.09000,34.04,34.18
1631385984,34.09000,34.04,34.18
1631386048,34.09000,34.04,34.18
1631386112,34.09000,34.04,34.18
1631386176,34.09000,34.04,34.18
1631386240,34.09000,34.04,34.18
1631386305,34.09000,34.04,34.18
1631386369,34.09000,34.04,34.18
1631386433,34.09000,34.04,34.18
1631386497,34.09000,34.04,34.18
1631386561,34.09000,34.04,34.18
1631386625,34.09000,34.04,34.18
1631386690,34.09000,34.04,34.18
1631386754,34.09000,34.04,34.18
1631386818,34.09000,34.04,34.18
1631386882,34.09000,34.04,34.18
1631386946,34.09000,34.04,34.18
1631387010,34.09000,34.04,34.18
1631387074,34.09000,34.04,34.18
1631387138,34.09000,34.04,34.18
1631387203,34.09000,34.04,34.18
1631387268,34.09000,34.04,34.18
1631387332,34.09000,34.04,34.18
1631387396,34.09000,34.04,34.18
1631387460,34.09000,34.04,34.18
1631387524,34.09000,34.04,34.18
1631387588,34.09000,34.04,34.18
1631387653,34.09000,34.04,34.18
1631387717,34.09000,34.04,34.18
1631387782,34.09000,34.04,34.18
1631387846,34.09000,34.04,34.18
1631387910,34.09000,34.04,34.18
1631387975,34.09000,34.04,34.18
1631388041,34.09000,34.04,34.18
1631388106,34.09000,34.04,34.18
1631388171,34.09000,34.04,34.18
1631388235,34.09000,34.04,34.18
1631388300,34.09000,34.04,34.18
1631388364,34.09000,34.04,34.18
1631388429,34.09000,34.04,34.18
1631388493,34.09000,34.04,34.18
1631388557,34.09000,34.04,34.18
1631388622,34.09000,34.04,34.18
1631388686,34.09000,34.04,34.18
1631388750,34.09000,34.04,34.18
1631388814,34.09000,34.04,34.18
1631388879,34.09000,34.04,34.18
1631388943,34.09000,34.04,34.18
1631389007,34.09000,34.04,34.18
1631389072,34.09000,34.04,34.18
1631389136,34.09000,34.04,34.18
1631389201,34.09000,34.04,34.18
1631389265,34.09000,34.04,34.18
1631389330,34.09000,34.04,34.18
1631389394,34.09000,34.04,34.18
1631389458,34.09000,34.04,34.18
1631389522,34.09000,34.04,34.18
1631389587,34.09000,34.04,34.18
1631389651,34.09000,34.04,34.18
1631389716,34.09000,34.04,34.18
1631389780,34.09000,34.04,34.18
1631389844,34.09000,34.04,34.18
1631389908,34.09000,34.04,34.18
1631389973,34.09000,34.04,34.18
1631390037,34.09000,34.04,34.18
1631390101,34.09000,34.04,34.18
1631390166,34.09000,34.04,34.18
1631390230,34.09000,34.04,34.18
1631390294,34.09000,34.04,34.18
1631390359,34.09000,34.04,34.18
1631390423,34.09000,34.04,34.18
1631390488,34.09000,34.04,34.18
1631390552,34.09000,34.04,34.18
1631390616,34.09000,34.04,34.18
1631390681,34.09000,34.04,34.18
1631390745,34.09000,34.04,34.18
1631390809,34.09000,34.04,34.18
1631390873,34.09000,34.04,34.18
1631390937,34.09000,34.04,34.18
1631391001,34.09000,34.04,34.18
1631391066,34.09000,34.04,34.18
1631391130,34.09000,34.04,34.18
1631391194,34.09000,34.04,34.18
1631391259,34.09000,34.04,34.18
1631391323,34.09000,34.04,34.18
1631391387,34.09000,34.04,34.18
1631391451,34.09000,34.04,34.18
1631391515,34.09000,34.04,34.18
1631391580,34.09000,34.04,34.18
1631391645,34.09000,34.04,34.18
1631391709,34.09000,34.04,34.18
1631391773,34.09000,34.04,34.18
1631391837,34.09000,34.04,34.18
1631391901,34.09000,34.04,34.18
1631391965,34.09000,34.04,34.18
1631392029,34.09000,34.04,34.18
1631392094,34.09000,34.04,34.18
1631392165,34.09000,34.04,34.18
1631392229,34.09000,34.04,34.18
1631392293,34.09000,34.04,34.18
1631392358,34.09000,34.04,34.18
1631392422,34.09000,34.04,34.18
1631392486,34.09000,34.04,34.18
1631392551,34.09000,34.04,34.18
1631392615,34.09000,34.04,34.18
1631392679,34.09000,34.04,34.18
1631392743,34.09000,34.04,34.18
1631392809,34.09000,34.04,34.18
1631392873,34.09000,34.04,34.18
1631392937,34.09000,34.04,34.18
1631393001,34.09000,34.04,34.18
1631393066,34.09000,34.04,34.18
1631393131,34.09000,34.04,34.18
1631393200,34.09000,34.04,34.18
1631393264,34.09000,34.04,34.18
1631393329,34.09000,34.04,34.18
1631393394,34.09000,34.04,34.18
1631393458,34.09000,34.04,34.18
1631393522,34.09000,34.04,34.18
1631393587,34.09000,34.04,34.18
1631393651,34.09000,34.04,34.18
1631393715,34.09000,34.04,34.18
1631393779,34.09000,34.04,34.18
1631393843,34.09000,34.04,34.18
1631393907,34.09000,34.04,34.18
1631393973,34.09000,34.04,34.18
1631394037,34.09000,34.04,34.18
